estimated_occupancy_l365d,number_of_reviews_ltm
108,18
6,1
72,12
54,9
255,57
120,20
6,1
255,92
168,28
144,24
114,19
255,76
72,9
62,1
72,12
126,21
255,57
132,22
255,90
8,1
112,14
222,37
36,6
48,8
255,57
255,48
78,13
255,43
204,34
255,62
42,7
255,53
210,35
72,12
42,7
12,2
78,13
72,12
255,87
132,2
255,17
62,1
6,1
255,93
255,57
6,1
255,67
252,42
255,92
24,4
255,64
60,10
255,98
255,66
255,51
18,3
60,10
255,45
255,75
90,15
255,44
255,118
255,44
248,4
78,13
54,9
30,5
255,75
132,22
255,57
18,3
24,4
108,18
104,13
6,1
255,44
24,4
6,1
255,95
102,17
30,5
18,3
6,1
255,43
78,13
90,15
138,23
255,91
60,10
12,2
62,1
138,23
42,7
192,32
12,2
255,105
255,87
180,30
124,2
255,53
255,79
180,30
6,1
255,96
168,28
255,154
36,6
255,46
255,49
186,31
180,30
255,14
150,25
222,37
255,59
48,8
36,6
54,9
126,21
255,65
255,98
48,8
255,61
18,3
255,166
36,6
255,164
255,161
42,7
6,1
30,5
234,39
255,97
126,21
54,9
255,57
126,21
255,45
255,76
24,4
12,2
255,107
12,2
126,21
18,3
66,11
12,2
162,27
255,112
255,51
255,103
255,14
240,40
90,15
255,53
255,66
78,13
66,11
255,49
255,60
255,73
30,5
72,12
12,2
144,24
168,28
54,9
255,83
42,7
18,3
6,1
12,2
90,15
132,22
42,7
6,1
6,1
255,60
255,60
186,31
18,3
6,1
255,81
255,51
12,2
255,63
255,61
255,46
240,40
120,20
248,4
255,50
255,44
255,83
156,26
12,2
108,18
24,3
6,1
6,1
96,16
126,21
144,24
30,5
6,1
255,127
124,2
255,51
18,3
36,6
42,7
12,2
252,42
255,45
6,1
36,6
90,15
42,7
36,6
30,5
255,72
6,1
255,52
30,5
255,146
24,4
72,12
248,4
234,39
84,14
255,64
18,3
255,86
255,53
255,46
255,66
90,15
144,24
144,24
36,6
12,2
62,1
132,22
36,6
255,106
255,97
120,20
138,23
255,44
255,89
255,77
255,85
255,74
12,2
120,20
255,67
62,1
102,17
18,3
255,94
255,72
54,9
255,85
30,5
6,1
18,3
255,72
255,88
255,77
120,20
24,4
255,67
255,53
255,76
174,29
255,79
132,22
255,94
234,39
12,2
255,73
255,64
216,36
255,50
255,113
255,60
132,22
246,41
48,8
252,42
255,79
6,1
54,9
6,1
186,31
18,3
204,34
24,4
124,2
62,1
255,129
144,24
84,14
54,9
255,104
90,15
168,28
24,4
144,24
6,1
30,5
255,60
255,44
255,70
150,25
138,23
96,16
168,21
210,35
192,32
30,5
6,1
255,95
255,91
54,9
255,86
255,67
234,39
150,25
255,104
174,29
72,12
120,20
255,59
62,1
124,2
66,11
30,5
96,16
162,27
255,86
255,52
102,17
150,15
186,3
114,19
132,22
126,21
198,33
24,4
6,1
255,46
90,15
144,24
24,4
255,35
120,20
255,62
180,30
54,9
150,25
228,38
255,57
255,44
114,19
144,24
255,46
6,1
62,1
255,76
72,12
255,45
255,64
255,60
210,35
150,25
90,15
6,1
120,20
42,7
72,12
102,17
255,50
54,9
60,10
255,51
30,5
186,3
30,5
10,1
62,1
120,20
42,7
120,20
102,17
255,47
168,28
72,12
30,5
255,49
255,66
48,8
124,2
60,10
18,3
132,22
78,13
66,11
156,26
204,34
54,9
204,34
24,4
144,24
24,4
36,6
12,2
126,21
12,2
42,7
6,1
30,5
6,1
90,15
12,2
42,7
30,5
6,1
60,10
96,16
174,29
54,9
66,11
30,5
24,4
30,5
36,6
12,2
126,21
12,2
36,6
24,4
24,4
18,3
108,18
18,3
6,1
6,1
108,18
24,4
24,4
48,8
30,5
6,1
186,3
18,3
12,2
90,15
30,5
72,12
6,1
18,3
18,3
12,2
18,3
12,2
6,1
24,4
12,2
6,1
6,1
18,3
6,1
